tweet_id,text,class
"""1260234474668744709""",facebookขึ้นอันนี้มา....  ไปแนะนำให้พ่อมึงนะมาร์ค​ #ผู้กองเบนซ์ pic.twitter.com/TQwA10UKY3,0
"""1259850883875078144""","สมองคุณคิดได้แค่นี้ก็ดีแล้วที่ลาออกมานะ
อย่าเรียนต่อเลย ผมว่ามันมีแต่จะเสียชื่อเสียงมหาลัย แถวเรียนไปอาจจะไม่จบ น่าจะโดนตี..ตายก่อนอะนะ

#ผู้กองเบนซ์ https://twitter.com/jamessuomi/status/1258275161414889473 …",0
"""1259796010957590528""",รีวิวคอร์สหน่อยสิ คนที่เข้าอบรมคือใคร มีฐานะเดิมเป็นอย่างไร ถ้ามีเงินอยู่แล้ว 699 ล้านบาท แล้วหาเพิ่มได้ 1 ล้าน จากการเข้าอบรม ถ้าตาสีขายของได้ 300 บาทต่อวัน ยินดีโค้ชไหม 5 วันนี่ #ผู้กองเบนซ์ https://twitter.com/notdayyy/status/1258371609028513792 …,0
"""1259709426052681728""","ฝาก 500 รับทันที 500 ไม่ต้องทำเทิร์น
#บาคาร่าออนไลน์ #หวยออนไลน์ #เนเน่ #สล็อต
#bbrightvc #หวยยี่กี #หวยเด็ด #หวยยูวิน #หวยดัง #สูตรบาคาร่า #เกมส์มือถือ #ผู้กองเบนซ์",0
"""1259500710833475586""",มารีวิวเพื่อนที่เรียนกับอี #ผู้กองเบนซ์    กูบอกเลยค่ะ ใครอยากสันดานแย่ลงจนเพื่อนเลิกคบให้ลงเรียนคอร์สอีเบนซ์ ก่อนหน้านี้เพื่อนนี่ก็นิสัยดีเห็นใจคนอื่นไม่ดูถูกใคร แต่ตอนนี้หรอ อหใครเตือนไรก็ไม่ฟังจ้า หาว่าเขาดูถูก ลงรูปอวดนาฬิกา พูดสรรพคุณว่าตัวเองเก่งยังไงตลอดเวลา ประสาท,0
"""1259472736272826368""",#ผู้กองเบนซ์ ทำชาวเน็ตเดือดปรี๊ดอีกครั้ง หลังเล่าประสบการณ์ &quot;ผมเกือบเป็นตุ๊ด&quot; http://www.socialhot24.com/news107378.html?d=10052020&f=98695 …,0
"""1259428082361831426""",อีดอกก มีตารางเรียนอยู่เทอมเดียว ประเด็นคือมึงเรียนไม่ได้เองหรือเปล่าอย่ามาพูดเรื่องเพศว่าจะเป็นเลยลาออก เรียนไม่ได้ก็คือเรียนไม่ได้ อีควายยยยยยย #ผู้กองเบนซ์ pic.twitter.com/CEBrHdeSth,0
"""1259404204650594309""","เป็นนายร้อยแต่คิดได้แค่นี้เหรอ ตุ๊สค่ะไม่ใช่ไข้หวัดใหญ่ที่จามใส่แล้วติดกันอะ สตินิดนึง อย่ามีหลีไว้กั้นหูเนอะ แยกก่อนจ้า 
#ผู้กองเบนซ์ https://twitter.com/jamessuomi/status/1258275161414889473 …",0
"""1259402984254869505""","𝑃𝑟𝑒𝑜𝑟𝑑𝑒𝑟 

สนใจสั่งซื้อทางDM เลยคร้าบบ
สินค้าเป็นสินค้าพรีอออเดอร์ รอของประมาณ10-15วันค่ะ
ปิดรอบวันที่15/5.
#โบว์ผูกผม #ยางมัดผม #กิ๊บติดผม #เครื่องสําอางเกาหลี #เครื่องประดับ #เครื่องเขียนน่ารัก #เครื่องประดับ #โบว์ #ที่คามผมเกาหลี #หน้ากากเมียงู #ผู้กองเบนซ์ https://twitter.com/yinyibo85/status/1257953272238727169 …",0
"""1259394623241203712""",อยากเห็นคลิปหลุด ผกบ #ผู้กองเบนซ์,0
"""1259393131717332992""",เบื่อๆเลยมานั่งส่องแท็ก #ผู้กองเบนซ์ โอ้ย อยากกรี๊ด ทุเรศไม่ไหวแล้ว,0
"""1259346483867815936""","COLLA Zinc Plus C คอลลา ซิ้งค์ พลัส ซี คลอลาเจนแท้ 100%  นำเข้าจากญี่ปุ่น ไม่มีส่วนผสมของแป้งและน้ำตาล 
กระปุกละ 370.-
Promotion3 กระปุก 1000.-
#คอลลาซิงค์พลัสซี #คอลลาเจนผิวขาว #HowtoPerfect #howtobeauty #ไว้รีวิวห้ามขายของโว้ยยย #ผู้กองเบนซ์ #dek63pic.twitter.com/QZQZDaIUgD",0
"""1259344484086673409""","#ปลอกครึ่งท่อน

ชุด4ชิ้น ประกอบด้วย
#ปลอกเบ็นซ์
#ปลอกข้าวโพด
#ปลอกหนาม
#ปลอกมุก
#ดิลโด้ #สวิงกิ้ง #โชว์หี #ยานอนหลับ #ยามอมสาว #ผู้กองเบนซ์
#คั่นกูEP12 
สนใจคลิ๊กเลย
@078gznpo
https://lin.ee/2p7T6zK pic.twitter.com/TOg1DlWTTV",0
"""1259325634808934400""","#เท่ห์สไตล์ Sport กับนาฬิกา SKMEI รุ่น 1355

ช้อปเลย: ฿599.00 -ฟรีส่ง
สั่งซื้อ089-698-7394

#ผู้กองเบนซ์
| คลิกเลย -> https://t.youpik.in.th/t.p4sWSKMEI  1355 นาฬิกาข้อมือ 3 ระบบ ของแท้pic.twitter.com/M2JO1uu8eN",0
"""1259322588351696896""","#แมลงวันสเปนทอง #GOLDFLY
#ราคา1ซอง350
#โปร3ซอง1000
ทำตื่นตัวได้ง่ายด้วยอารมณ์สัมผัส ความรักที่เป็นได้อย่างรวดเร็ว ทำให้เกิดอารมณ์ความรู้สึก คล้อยตามหลังถูกสัมผัส #เงียนหี #เสียว #เยิ้ม #อยากโดนเย็ด #โชว์หี #ผู้กองเบนซ์ #สวิงกิ้ง สนใจคลิ๊กเลย
@078gznpo
https://lin.ee/2p7T6zK pic.twitter.com/pKGc2veZbi",0
"""1259298401465716736""","กระเป๋าลายมิกกี้เม้าส์ 
 ขนาด 26.5×25×11 cm.
 ราคา 169.-
  Reg.40 | Ems. 60 (ชิ้นต่อไป +10)
 ปิดพรี 11/05
#กระเป๋า #กระเป๋าผ้า #พรีออเดอร์จีน #พรีออเดอร์ #ของมันต้องมี #ของขวัญ #ส่งต่อ #ลืมว่าต้องลืม #ผีซอยสี่นะครับ #ผู้กองเบนซ์ pic.twitter.com/pjdylqJp1N",0
"""1259259420531240960""",เลิกโม้เหอะ ว่ายอมทิ้งตำแหน่งบลาๆ คนในกันเองน่าจะรู้ดีนะว่าสวัสดิการตำรวจในประเทศนี้ต่ำเตี้ยเรี่ยดินขนาดไหน เบื่อสายสอบสวนเพราะต้องทำแต่สำนวนวีคละเกือบร้อยคดี แล้วยังต้องซื้อเครื่องปริ้นซื้อหมึกเอง เบิกรัฐไม่ได้อ่ะสิ ไปเป็นตชด.อีก ทนกัดก้อนเกลือกินไม่ไหวมากกว่ามั้ง #ผู้กองเบนซ์,0
"""1259255631271231488""","#ผู้กองเบนซ์ ทำชาวเน็ตเดือดปรี๊ดอีกครั้ง หลังเล่าประสบการณ์ ""ผมเกือบเป็นตุ๊ด"" https://today.line.me/TH/article/JGj5MK?utm_source=ttshare … #LINETODAY #LINETODAY",0
"""1259238846107025408""",เอาจริงอี #ผู้กองเบนซ์ เหมือนมันย้อนแย้งกับชีวิตตัวเอง คลิปนึงพูดอย่าง พออีกคลิปก็พูดอีกอย่าง มึงเป็นเหี้ยไร?,0
"""1259225333154234368""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259222248142995456""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259221200967888896""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259214392941359104""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259211961381748736""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259211100702171142""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง #TheKingEternalMonarch #WhoAreYouEP3  ดูให้ได้ทันทีเลยนะคะ ,0
"""1259210456922615808""",รับดูดวงโปรรายเดือน 59 โปรราย 2 เดือน 99 ( ไม่จำกัดคำถาม ) #ดูดวง #ดูดวงความรัก #ดูดวงไพ่ยิปซี #ดูดวงแม่นๆ #ดูดวงฟรี #แจกฟรีแค่รีฟอล #ผู้กองเบนซ์ #dek63 #แจกฟรีไม่รีได้ไง ดูให้ได้ทันทีเลยนะคะ ,0
